Corte,URL,Categoria
picanha,https://www.swift.com.br/picanha-swift-mais-kg/p,bovino
baby-beef,https://www.swift.com.br/baby-beef-swift-gran-reserva-kg/p,bovino
maminha,https://www.swift.com.br/maminha-swift-gran-reserva-kg/p,bovino
fraldinha,https://www.swift.com.br/fraldinha-swift-kg/p,bovino
ancho,https://www.swift.com.br/bife-ancho-swift-gran-reserva-kg/p,bovino
panceta,https://www.swift.com.br/panceta-suina--temperada--swift-kg/p,suino
linguiça,https://www.swift.com.br/linguica-pernil-swift-700g/p,suino
tulipa,https://www.swift.com.br/meio-da-asa-temperado-swift-1kg-617614/p,aves
pão francês,(Padaria Líder),outros
pão de alho,https://www.swift.com.br/paodeallhobag400g/p,outros
